               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.025193,            0.017315,            0.020632,             0.69623,             0.88441,             0.88101,             0.64189,           0.0055828,           0.0067564,           0.0013731,            0.008866,            0.008866,            0.008866
                 128,             0.02584,            0.017419,            0.020683,             0.70188,             0.91367,             0.91566,             0.65071,           0.0047719,           0.0068249,           0.0013288,            0.008857,            0.008857,            0.008857
                 129,            0.024991,             0.01678,            0.021101,             0.75626,             0.91526,             0.91713,             0.68669,           0.0049818,           0.0062667,           0.0013447,            0.008848,            0.008848,            0.008848
                 130,              0.0254,            0.017269,            0.021905,             0.73186,             0.92903,             0.90821,             0.64606,           0.0057488,            0.007063,           0.0011638,            0.008839,            0.008839,            0.008839
                 131,            0.024813,            0.017245,            0.021528,             0.70777,             0.92984,             0.90731,             0.66871,            0.005409,           0.0066435,          0.00092053,             0.00883,             0.00883,             0.00883
                 132,            0.025035,            0.017289,              0.0197,             0.74803,             0.90895,             0.92671,             0.68303,           0.0048279,           0.0066366,           0.0012438,            0.008821,            0.008821,            0.008821
                 133,            0.024959,            0.017159,            0.019716,             0.74234,             0.94131,             0.92173,             0.72058,           0.0046104,           0.0061334,           0.0011992,            0.008812,            0.008812,            0.008812
                 134,            0.024661,            0.017066,             0.02079,             0.74286,             0.92119,             0.92252,              0.7218,            0.004245,           0.0061876,           0.0011381,            0.008803,            0.008803,            0.008803
                 135,            0.024809,            0.017167,             0.01975,             0.79173,             0.94126,             0.93541,             0.69519,           0.0045133,           0.0068664,           0.0012174,            0.008794,            0.008794,            0.008794
                 136,            0.024649,            0.017096,            0.019362,             0.70819,             0.91693,              0.9102,             0.67918,           0.0046465,           0.0064114,           0.0011433,            0.008785,            0.008785,            0.008785
                 137,            0.024497,            0.017038,            0.019649,             0.73226,              0.9184,             0.92192,             0.70188,           0.0045834,           0.0068848,           0.0010232,            0.008776,            0.008776,            0.008776
                 138,            0.024428,             0.01718,            0.021167,             0.75617,             0.94715,             0.92738,             0.70107,           0.0048801,           0.0068038,          0.00098936,            0.008767,            0.008767,            0.008767
                 139,            0.025146,            0.017041,            0.019605,             0.76644,             0.91389,             0.92016,             0.65757,           0.0052106,            0.006975,           0.0010282,            0.008758,            0.008758,            0.008758
                 140,            0.024866,            0.016922,            0.018521,             0.71674,             0.93878,              0.9182,             0.65754,           0.0046462,           0.0082362,          0.00084287,            0.008749,            0.008749,            0.008749
                 141,            0.024195,            0.017002,             0.02085,             0.69273,              0.9449,             0.91177,             0.65918,           0.0048999,           0.0075573,          0.00089378,             0.00874,             0.00874,             0.00874
